Key,City,Month,Vendor,Total Pay,Net Deduction,Net Pay,Negative Pay,PFESI,Sourcing Fees,Commission,Comm. Amount,Vendor Pay,MIS PAY,MIS Amount,Dif In MIS,Diff in Invoice,Extra per rs
Bangalore-45383-3WH,Bangalore,01/04/2024,3WH,72295,36148.55,36147,₹0,0,0,,0,36147,72295.55,0,"-₹72,296",,0
Bangalore-45383-Blitz_Self,Bangalore,01/04/2024,Blitz_Self,17600,46690.17,-29091,"₹31,511",0,0,,0,"₹31,511","₹78,201",0,"-₹78,201",,1.790397727
Bangalore-45383-Hindusree,Bangalore,01/04/2024,Hindusree,1443667,246457.57,1197210,₹0,0,0,5.0%,"59,861","1,257,071","1,503,528",1503527,-₹1,,0.04146420192
Bangalore-45383-Olive,Bangalore,01/04/2024,Olive,32132,3188,28944,₹0,7568,0,,1826,38338,41526,38338,"-₹3,188",,0.2923565293
Bangalore-45383-Peel works,Bangalore,01/04/2024,Peel works,"1,151,482",264778.28,886704,"₹1,07,021","₹30,051",12000,6%,53202.24,1088978.72,1353757,1353757,₹0,,0.1756646826
Bangalore-45383-Quess Corp,Bangalore,01/04/2024,Quess Corp,55087,12329.29,42758,"₹4,711",9905,0,7.0%,4016.18,61195,73524.29,61195,"-₹12,329",,0.3382318877
Delhi-45383-JPS,Delhi,01/04/2024,JPS,455206,12968.4,442237,₹0,4133,0,5.00%,22970,469340,482308,482308,₹0,,0.05954007636
Delhi-45383-PS Manpower solutions,Delhi,01/04/2024,PS Manpower solutions,2296530,138758.44,2157770,"₹61,664",0,0,4%,91861,2249631,2388390,2388389,-₹1,,0.06685094469
Delhi-45383-Rapydex,Delhi,01/04/2024,Rapydex,383405,3047.15,380358,₹0,0,0,5%,19018,399376,402423,402423,₹0,,0.04960263951
Delhi-45383-Vlead,Delhi,01/04/2024,Vlead,464560,9774.7,454785,₹0,0,0,5%,22739,477524,487299,487348,₹49,,0.04894792922
Hyderabad-45383-3WH,Hyderabad,01/04/2024,3WH,15945,0,15945,₹0,0,0,0,0,15945,15945,0,"-₹15,945",,0
Hyderabad-45383-ACP Facility,Hyderabad,01/04/2024,ACP Facility,230340,28189,202151,₹0,25117,0,5%,7984,235252,263441,263422,-₹19,,0.1437049579
Hyderabad-45383-Blitz_Self,Hyderabad,01/04/2024,Blitz_Self,11985,17709,-5723,"₹11,188",0,0,0,0,"₹11,188","₹28,897",0,"-₹28,897",,0.9335002086
Hyderabad-45383-Hindusree,Hyderabad,01/04/2024,Hindusree,15015,0,15015,₹0,0,0,5%,750.75,15765.75,15765.75,15766,₹0,,0.05
Hyderabad-45383-Peel works,Hyderabad,01/04/2024,Peel works,1861040,319805,1541234,"₹21,730",208360,39000,6%,106276.68,1916600,2236405,2236401,-₹4,,0.2016971263
Hyderabad-45383-Piqyu,Hyderabad,01/04/2024,Piqyu,178370,41510,136860,₹0,0,0,6%,8211.6,145071.6,186582,186580,-₹2,,0.04603688961
Hyderabad-45383-Quess Corp,Hyderabad,01/04/2024,Quess Corp,22930,1943,20987,₹0,1990,,7%,1495,24472,26415,26415,₹0,,0.1519843
Hyderabad-45383-Shiva Shakti,Hyderabad,01/04/2024,Shiva Shakti,677310,65686,611623,₹0,0,0,5%,30581.15,642204.15,707890,707889,-₹1,,0.04515089102
Jaipur-45383-JPS,Jaipur,01/04/2024,JPS,401505,0,401505,₹0,16896,0,5.21%,21786,437592.1,437592.1,437592,₹0,,0.0963425113
Mumbai-45383-Ambika,Mumbai,01/04/2024,Ambika,440048,84757.95,355290,₹0,0,0,8%,28423.2,383713.2,468471.15,426215,"-₹42,256",,0.06459113551
Mumbai-45383-Octopus Manpower Private Ltd,Mumbai,01/04/2024,Octopus Manpower Private Ltd,2568,0,2568,₹0,0,0,,154,2722,2722,2722,₹0,,0.05996884735
Mumbai-45383-Rapydex,Mumbai,01/04/2024,Rapydex,1302931,70661.81,1250024,₹0,0,0,7%,87501.68,1337525.68,1408187.49,1379205,"-₹28,982",,0.06715757012
Mumbai-45383-Team HR,Mumbai,01/04/2024,Team HR,223618,71883.88,151736,"₹19,643","₹30,194",0,5.00%,10079,211652,283535.88,287598,"₹4,062",,0.2679390747
Mumbai-45383-Upskill,Mumbai,01/04/2024,Upskill,715188,231664.24,483524,₹0,0,0,5%,42911,526435,758099.24,758099,₹0,,0.05999960849