city,amount,Month
Delhi,565626,01/01/2024
Bangalore,599032,01/01/2024
Hyderabad,352854,01/01/2024
Mumbai,379773,01/01/2024
Delhi,347268,01/02/2024
Delhi,64715,01/02/2024
Delhi,55187,01/02/2024
Jaipur,114855,01/02/2024
Bangalore,202752,01/02/2024
Bangalore,150000,01/02/2024
Bangalore,247824,01/02/2024
Hyderabad,11517,01/02/2024
Hyderabad,51369,01/02/2024
Hyderabad,246435,01/02/2024
Hyderabad,118779,01/02/2024
Mumbai,320319,01/02/2024
Mumbai,221244,01/02/2024
Mumbai,72936,01/02/2024
Delhi,414632,01/03/2024
Jaipur,105902,01/03/2024
Bangalore,209872,01/03/2024
Bangalore,126637,01/03/2024
Bangalore,211180,01/03/2024
Hyderabad,1374,01/03/2024
Hyderabad,110352,01/03/2024
Hyderabad,217014,01/03/2024
Hyderabad,148861,01/03/2024
Mumbai,276979,01/03/2024
Mumbai,148143,01/03/2024
Mumbai,8945,01/03/2024
Mumbai,75331,01/03/2024
Delhi,478670,01/04/2024
Jaipur,97477,01/04/2024
Bangalore,171586,01/04/2024
Bangalore,116295,01/04/2024
Bangalore,163595,01/04/2024
Hyderabad,4182,01/04/2024
Hyderabad,83568,01/04/2024
Hyderabad,130733,01/04/2024
Hyderabad,97315,01/04/2024
Mumbai,196146,01/04/2024
Mumbai,92433,01/04/2024
Mumbai,60387,01/04/2024
Mumbai,71272,01/04/2024
Delhi,674435,01/05/2024
Delhi,35412,01/05/2024
Jaipur,121153,01/05/2024
Bangalore,99855,01/05/2024
Bangalore,103134,01/05/2024
Bangalore,128814,01/05/2024
Hyderabad,2091,01/05/2024
Hyderabad,103215,01/05/2024
Hyderabad,196641,01/05/2024
Hyderabad,121923,01/05/2024
Mumbai,133383,01/05/2024
Mumbai,100521,01/05/2024
Mumbai,58668,01/05/2024
Mumbai,75222,01/05/2024
Delhi,526384,01/06/2024
Jaipur,139617,01/06/2024
Bangalore,115659,01/06/2024
Bangalore,113697,01/06/2024
Bangalore,131799,01/06/2024
Pune,53373,01/06/2024
Hyderabad,118551,01/06/2024
Hyderabad,268167,01/06/2024
Hyderabad,129450,01/06/2024
Mumbai,131484,01/06/2024
Mumbai,103773,01/06/2024
Mumbai,70224,01/06/2024
Mumbai,92130,01/06/2024