Key,City,Month,Vendor,Total Pay,Net Deduction,Net Pay,Negative Pay,PFESIC,Sourcing Fees,Commission,Comm. Amount,Vendor Pay,MIS PAY,MIS Amount,Dif In MIS,Diff in Invoice,Extra per rs
Bangalore-45413-3WH,Bangalore,01/05/2024,3WH,"91,111","22,990","68,121",0,0,0,,0,68121,91111,0,,,0.000
Bangalore-45413-Blitz_Self,Bangalore,01/05/2024,Blitz_Self,"2,928","2,312",616,0,0,0,,0,0,2312,0,,,0.000
Bangalore-45413-Hindusree,Bangalore,01/05/2024,Hindusree,"1,873,425","298,312","1,575,113",0,0,0,0,"78,756",1653869,1952180,1952180,₹0,,0.042
Bangalore-45413-Peel works,Bangalore,01/05/2024,Peel works,"613,449","124,708","488,741","78,237","74,156","7,000",0,"38,468",686602,811310,694582,"-₹116,728",,0.323
Bangalore-45413-Quess Corp,Bangalore,01/05/2024,Quess Corp,"74,143",100,"74,043",0,"10,423",0,0,"5,913",90379,90479,90379,-₹100,,0.220
Delhi-45413-JPS,Delhi,01/05/2024,JPS,"₹5,39,300","₹38,414","₹5,00,886",₹0,"₹5,486",₹0,5.00%,"₹27,230","₹5,33,602","₹5,72,016","₹5,72,016",₹0,,0.061
Delhi-45413-PS Manpower solutions,Delhi,01/05/2024,PS Manpower solutions,"₹33,06,146","₹81,451","₹32,24,695",₹0,₹0,₹0,4.00%,"₹1,32,246","₹33,56,941","₹34,38,392","₹34,38,392",₹0,,0.040
Delhi-45413-Rapydex,Delhi,01/05/2024,Rapydex,"₹3,63,514","₹4,700","₹3,58,814",₹0,₹0,₹0,5.00%,"₹17,941","₹3,76,755","₹3,81,455","₹3,81,455",₹0,,0.049
Delhi-45413-Vlead,Delhi,01/05/2024,Vlead,"₹4,69,217","₹9,045","₹4,60,172",₹0,₹0,₹0,5.00%,"₹23,009","₹4,83,181","₹4,92,226","₹4,92,227",₹1,,0.049
Hyderabad-45413-3WH,Hyderabad,01/05/2024,3WH,"₹25,095",₹987,"₹24,108",₹0,₹0,₹0,0%,₹0,"₹24,108","₹25,095",₹0,"-₹25,095",,0.000
Hyderabad-45413-ACP Facility,Hyderabad,01/05/2024,ACP Facility,"₹2,28,225","₹25,536","₹2,02,689",₹0,"₹29,238",₹0,5%,"₹9,294","₹2,41,222","₹2,66,758","₹2,51,368","-₹15,390",,0.169
Hyderabad-45413-Blitz_Self,Hyderabad,01/05/2024,Blitz_Self,"₹18,135","₹21,399","-₹3,264","₹3,264",₹0,₹0,0%,₹0,"₹3,264",24663,₹0,"-₹24,663",,0.180
Hyderabad-45413-Hala,Hyderabad,01/05/2024,Hala,"₹2,07,030","₹38,802","₹1,68,228","₹11,270",₹0,₹0,8%,"₹13,458","₹1,92,956","₹2,31,758","₹2,32,810","₹1,052",,0.119
Hyderabad-45413-Hindusree,Hyderabad,01/05/2024,Hindusree,"₹33,810","₹1,578","₹32,232",₹0,₹0,₹0,5%,"₹1,612","₹33,844","₹35,422","₹35,422",₹0,,0.048
Hyderabad-45413-Peel works,Hyderabad,01/05/2024,Peel works,"₹22,07,915","₹4,90,367","₹17,17,549",₹0,"₹3,46,452","₹43,000",7%,"₹1,23,841","₹22,30,842","₹27,21,209","₹27,21,208",-₹1,,0.232
Hyderabad-45413-Piqyu,Hyderabad,01/05/2024,Piqyu,"₹1,55,075","₹37,909","₹1,17,166",₹0,₹0,₹0,6%,"₹7,030","₹1,24,196","₹1,62,105","₹1,24,196","-₹37,909",,0.045
Hyderabad-45413-Quess Corp,Hyderabad,01/05/2024,Quess Corp,"₹22,900",₹0,"₹22,900",₹0,"₹3,838",₹0,8%,"₹1,872","₹28,610","₹28,610","₹23,469","-₹5,141",,0.249
Hyderabad-45413-Shiva Shakti,Hyderabad,01/05/2024,Shiva Shakti,"₹6,85,280","₹88,798","₹5,96,482",₹0,₹0,₹0,5%,"₹29,824","₹6,26,306","₹7,15,104","₹6,26,306","-₹88,798",,0.044
Hyderabad-45413-VSN,Hyderabad,01/05/2024,VSN,"₹64,945","₹2,191","₹62,754",₹0,₹0,₹0,8%,"₹5,020","₹67,774","₹69,965","₹67,774","-₹2,191",,0.077
Jaipur-45413-JPS,Jaipur,01/05/2024,JPS,533355,35052,498303,₹0,22317,0,5%,28783,549403,584455,584455,₹0,,0.096
Mumbai-45413-Ambika,Mumbai,01/05/2024,Ambika,483850,63232,420618,₹0,0,4398,8%,34001.3,459017,522249,522248,-₹1,4398,0.079
Mumbai-45413-Blitz_Self,Mumbai,01/05/2024,Blitz_Self,16750,121036,-104286,"₹1,04,286",0,0,,0,"₹1,04,286",225322,104286,"-₹121,036",,6.226
Mumbai-45413-Prashant Groups,Mumbai,01/05/2024,Prashant Groups,9364,3960,5404,₹0,0,0,10%,540,5944,9904,9904,₹0,,0.058
Mumbai-45413-Rapydex,Mumbai,01/05/2024,Rapydex,1819711,38575,1781136,₹0,0,0,7%,"₹1,24,680","₹19,05,816","₹19,44,391",1944391,₹0,,0.069
Mumbai-45413-Team HR,Mumbai,01/05/2024,Team HR,277750,40745,237005,"₹12,150",52023,0,5%,"15,059","316,237","356,982",356983,₹1,"5,558",0.285
Mumbai-45413-Upskill,Mumbai,01/05/2024,Upskill,699509,272522,426986,"₹1,10,885",0,0,5%,32271,570142,842664,842664,₹0,,0.205