Head,Team,wh_code,Amount,Month
Loss on Hub,Bangalore,DS_BLR_MTH,"64,669",01/01/2024
Loss on Hub,Mumbai,DS_BOM_KRL,"35,581",01/01/2024
Loss on Hub,Hyderabad,DS_HYD_KMP,"37,712",01/01/2024
Loss on Hub,Delhi,DS_NCR_DWK,"76,844",01/01/2024
Loss on Hub,Bangalore,DS_BLR_MTH,"69,881",01/02/2024
Loss on Hub,Mumbai,DS_BOM_KRL,"74,786",01/02/2024
Loss on Hub,Hyderabad,DS_HYD_KMP,"31,639",01/02/2024
Loss on Hub,Delhi,DS_NCR_DWK,"145,531",01/02/2024
Loss on Hub,Bangalore,DS_BLR_MTH,"13,827",01/03/2024
Loss on Hub,Bangalore,DS_BLR_BOMM,"1,099",01/03/2024
Loss on Hub,Mumbai,DS_BOM_KDWL,"10,650",01/03/2024
Loss on Hub,Mumbai,DS_BOM_KRL,"22,694",01/03/2024
Loss on Hub,Mumbai,DS_BOM_SWRI,"5,650",01/03/2024
Loss on Hub,Mumbai,DS_BOM_THAN,"1,928",01/03/2024
Loss on Hub,Hyderabad,DS_HYD_KMP,"12,640",01/03/2024
Loss on Hub,Hyderabad,DS_HYD_MHDP,10061.5,01/03/2024
Loss on Hub,Hyderabad,DS_HYD_SRNG,122073.54,01/03/2024
Loss on Hub,Delhi,DS_NCR_DWK,"48,674",01/03/2024
Loss on Hub,Delhi,DS_NCR_HKMN,"1,348",01/03/2024
Loss on Hub,Delhi,DS_NCR_RNGR,"10,232",01/04/2024
Loss on Hub,Bangalore,DS_BLR_MTH,"4,096",01/04/2024
Loss on Hub,Bangalore,DS_BLR_BOMM,"2,618",01/04/2024
Loss on Hub,Mumbai,DS_BOM_KDWL,"28,625",01/04/2024
Loss on Hub,Mumbai,DS_BOM_KRL,"14,773",01/04/2024
Loss on Hub,Hyderabad,DS_HYD_MHDP,"1,698",01/04/2024
Loss on Hub,Hyderabad,DS_HYD_SRNG,"53,083",01/04/2024
Loss on Hub,Delhi,DS_NCR_DWK,34797,01/04/2024
Loss on Hub,Delhi,DS_NCR_HKMN,18753,01/04/2024
Loss on Hub,Delhi,DS_NCR_RNGR,4681,01/04/2024
Loss on Hub,Delhi,DS_NCR_NOID,1813,01/04/2024
Loss on Hub,Delhi,DS_NCR_GOKP,1914,01/04/2024
Loss on Hub,Bangalore,DS_BLR_MTH,2183,01/05/2024
Loss on Hub,Bangalore,DS_BLR_BOMM,3946,01/05/2024
Loss on Hub,Mumbai,DS_BOM_KDWL,"11,237",01/05/2024
Loss on Hub,Mumbai,DS_BOM_KRL,"67,743",01/05/2024
Loss on Hub,Mumbai,DS_BOM_SWRI,"1,844",01/05/2024
Loss on Hub,Mumbai,DS_BOM_THAN,"8,297",01/05/2024
Loss on Hub,Hyderabad,DS_HYD_KMP,"104,286",01/05/2024
Loss on Hub,Hyderabad,DS_HYD_MHDP,"20,978",01/05/2024
Loss on Hub,Hyderabad,DS_HYD_SRNG,"43,429",01/05/2024
Loss on Hub,Delhi,DS_NCR_DWK,116156,01/05/2024
Loss on Hub,Delhi,DS_NCR_HKMN,9387,01/05/2024
Loss on Hub,Delhi,DS_NCR_RNGR,2059,01/05/2024
Loss on Hub,Delhi,DS_NCR_NOID,12560,01/05/2024
Loss on Hub,Delhi,DS_NCR_GOKP,1596,01/05/2024
Loss on Hub,Bangalore,DS_BLR_MTH,"3,606",01/06/2024
Loss on Hub,Bangalore,DS_BLR_BOMM,"1,583",01/06/2024
Loss on Hub,Mumbai,DS_BOM_KDWL,"72,265",01/06/2024
Loss on Hub,Mumbai,DS_BOM_KRL,"59,388",01/06/2024
Loss on Hub,Mumbai,DS_BOM_SWRI,"79,145",01/06/2024
Loss on Hub,Mumbai,DS_BOM_THAN,"4,808",01/06/2024
Loss on Hub,Hyderabad,DS_HYD_MHDP,"3,986",01/06/2024
Loss on Hub,Hyderabad,DS_HYD_SRNG,"18,967",01/06/2024
Loss on Hub,Delhi,DS_NCR_DWK,"155,785",01/06/2024
Loss on Hub,Delhi,DS_NCR_HKMN,13465,01/06/2024
Loss on Hub,Delhi,DS_NCR_RNGR,3755,01/06/2024